Number Of processes; Time; Prime Numbers; Amount of numbers
1; 0.0175081; 78498; 1000000
2; 0.0124805; 78498; 1000000
4; 0.00592736; 78498; 1000000
8; 0.00220715; 78498; 1000000
16; 0.00104564; 78498; 1000000
1; 0.0812708; 664579; 10000000
2; 0.0448028; 664579; 10000000
4; 0.0286856; 664579; 10000000
8; 0.01292; 664579; 10000000
16; 0.00704845; 664579; 10000000
1; 1.20898; 5761455; 100000000
2; 0.858926; 5761455; 100000000
4; 0.627794; 5761455; 100000000
8; 0.539096; 5761455; 100000000
16; 0.500368; 5761455; 100000000
1; 14.5265; 50847534; 1000000000
2; 10.4411; 50847534; 1000000000
4; 9.39897; 50847534; 1000000000
8; 7.94653; 50847534; 1000000000
16; 7.5305; 50847534; 1000000000
